en,fr
The patient was admitted to the hospital yesterday.,Le patient a été admis à l'hôpital hier.
Blood pressure was measured twice during the visit.,La pression artérielle a été mesurée deux fois lors de la visite.
The cat sat on the mat.,Le chat était assis sur le tapis.
She was prescribed antibiotics for the infection.,Elle s'est vu prescrire des antibiotiques pour l'infection.
The weather is nice today.,Il fait beau aujourd'hui.
He completed the survey online.,Il a rempli le questionnaire en ligne.
The system crashed after the update.,Le système est tombé en panne après la mise à jour.
The experiment produced significant results.,L'expérience a produit des résultats significatifs.
The meeting was postponed until next week.,La réunion a été reportée à la semaine prochaine.
This sentence is completely unrelated.,Cette phrase est totalement sans rapport.
The doctor reviewed the patient's medical history.,Le médecin a examiné les antécédents médicaux du patient.
Data was collected from multiple hospitals.,Les données ont été collectées auprès de plusieurs hôpitaux.
She forgot to lock the door before leaving.,Elle a oublié de verrouiller la porte avant de partir.
The software update improved performance.,La mise à jour du logiciel a amélioré les performances.
He experienced mild side effects after treatment.,Il a ressenti des effets secondaires légers après le traitement.
The company announced a new policy.,L'entreprise a annoncé une nouvelle politique.
Results were stored in a secure database.,Les résultats ont été stockés dans une base de données sécurisée.
The child started school this year.,L'enfant a commencé l'école cette année.
Temperature readings were recorded hourly.,Les relevés de température ont été enregistrés toutes les heures.
The application requires user authentication.,L'application nécessite une authentification utilisateur.
The nurse prepared the injection.,L'infirmière a préparé l'injection.
Participants provided written consent.,Les participants ont fourni un consentement écrit.
The train arrived later than expected.,Le train est arrivé plus tard que prévu.
She translated the document into French.,Elle a traduit le document en français.
The server handled thousands of requests per minute.,Le serveur a traité des milliers de requêtes par minute.
A random sentence with no clear meaning.,Une phrase aléatoire sans signification claire.
The algorithm failed to converge.,L'algorithme n'a pas réussi à converger.
He bought groceries on his way home.,Il a acheté des courses sur le chemin du retour.
The results contradict the initial hypothesis.,Les résultats contredisent l'hypothèse initiale.
The painting was restored by experts.,La peinture a été restaurée par des experts.
