en,fr
The patient was admitted to the hospital yesterday.,Le patient a été admis à l'hôpital hier.
Blood pressure was measured two times during the visit.,La pression artérielle a été mesurée deux fois pendant la consultation.
The cat sat on a mat.,Le chat était assis sur un tapis.
She received antibiotics to treat the infection.,Elle a reçu des antibiotiques pour traiter l'infection.
The weather is nice today!,Il fait beau aujourd'hui.
He completed the survey online.,Il a rempli le questionnaire en ligne.
The system failed after the software update.,Le système a échoué après la mise à jour du logiciel.
The experiment yielded statistically significant results.,L'expérience a donné des résultats statistiquement significatifs.
The meeting was postponed.,La réunion a été reportée.
The doctor examined the patient's medical history.,Le médecin a examiné l'historique médical du patient.
Data was gathered from several hospitals.,Les données ont été recueillies dans plusieurs hôpitaux.
She forgot to close the door before leaving.,Elle a oublié de fermer la porte avant de partir.
The software update improved overall speed.,La mise à jour du logiciel a amélioré la vitesse globale.
He reported mild side effects following treatment.,Il a signalé des effets secondaires légers après le traitement.
The company released a new internal policy.,L'entreprise a publié une nouvelle politique interne.
Results were saved in a secure database.,Les résultats ont été enregistrés dans une base de données sécurisée.
The child began school this year.,L'enfant a commencé l'école cette année.
Temperature measurements were taken every hour.,Les mesures de température ont été prises toutes les heures.
The application requires authentication.,L'application nécessite une authentification.
The nurse prepared the vaccine.,L'infirmière a préparé le vaccin.
Participants signed an informed consent form.,Les participants ont signé un formulaire de consentement éclairé.
The train arrived late.,Le train est arrivé en retard.
She translated the file into French.,Elle a traduit le fichier en français.
The server processed many requests per minute.,Le serveur a traité de nombreuses requêtes par minute.
The algorithm converged successfully.,L'algorithme a convergé avec succès.
He purchased groceries while returning home.,Il a acheté des provisions en rentrant chez lui.
The results support the initial hypothesis.,Les résultats soutiennent l'hypothèse initiale.
The artwork was restored by professionals.,L'œuvre d'art a été restaurée par des professionnels.
