en,fr
The experiment yielded statistically significant results.,L'expérience a donné des résultats statistiquement significatifs.
She forgot to close the door before leaving.,Elle a oublié de fermer la porte avant de partir.
She translated the file into French.,Elle a traduit le fichier en français.
Data was gathered from several hospitals.,Les données ont été recueillies dans plusieurs hôpitaux.
The painting was restored by experts.,La peinture a été restaurée par des experts.
The nurse prepared the injection.,L'infirmière a préparé l'injection.
The algorithm converged successfully.,L'algorithme a convergé avec succès.
The nurse prepared the vaccine.,L'infirmière a préparé le vaccin.
The doctor examined the patient's medical history.,Le médecin a examiné l'historique médical du patient.
The child began school this year.,L'enfant a commencé l'école cette année.
The cat sat on a mat.,Le chat était assis sur un tapis.
Participants signed an informed consent form.,Les participants ont signé un formulaire de consentement éclairé.
Results were saved in a secure database.,Les résultats ont été enregistrés dans une base de données sécurisée.
The patient was admitted to the hospital yesterday.,Le patient a été admis à l'hôpital hier.
The system failed after the software update.,Le système a échoué après la mise à jour du logiciel.
He completed the survey online.,Il a rempli le questionnaire en ligne.
The company released a new internal policy.,L'entreprise a publié une nouvelle politique interne.
The results support the initial hypothesis.,Les résultats soutiennent l'hypothèse initiale.
He reported mild side effects following treatment.,Il a signalé des effets secondaires légers après le traitement.
The artwork was restored by professionals.,L'œuvre d'art a été restaurée par des professionnels.
This sentence is completely unrelated.,Cette phrase est totalement sans rapport.
The algorithm failed to converge.,L'algorithme n'a pas réussi à converger.
The weather is nice today!,Il fait beau aujourd'hui.
She received antibiotics to treat the infection.,Elle a reçu des antibiotiques pour traiter l'infection.
The results contradict the initial hypothesis.,Les résultats contredisent l'hypothèse initiale.
He purchased groceries while returning home.,Il a acheté des provisions en rentrant chez lui.
The software update improved overall speed.,La mise à jour du logiciel a amélioré la vitesse globale.
Blood pressure was measured two times during the visit.,La pression artérielle a été mesurée deux fois pendant la consultation.
The meeting was postponed.,La réunion a été reportée.
The train arrived late.,Le train est arrivé en retard.
The train arrived later than expected.,Le train est arrivé plus tard que prévu.
The application requires authentication.,L'application nécessite une authentification.
The server processed many requests per minute.,Le serveur a traité de nombreuses requêtes par minute.
Temperature measurements were taken every hour.,Les mesures de température ont été prises toutes les heures.
A random sentence with no clear meaning.,Une phrase aléatoire sans signification claire.
